,owner_address,contract_address,token_id,token_type,balance,collection_name,collection_slug,is_spam,floor_price,price_currency,description,last_ingested_at,total_supply,image_url,twitter_sentiment,twitter_tweet_volume,twitter_positive_tweets,twitter_negative_tweets,twitter_neutral_tweets
30,,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,78000998,erc721,1,Art Blocks,fidenza-by-tyler-hobbs,False,0.0,ETH,"Art Blocks is dedicated to bringing compelling works of contemporary generative art to life. We unite artists, collectors, and blockchain technology in service of groundbreaking artwork and remarkable experiences.",2025-07-17T14:53:06.321893,198051,https://i2.seadn.io/ethereum/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/5df3dfdcf2839258919c6f0138054369.png,0.0,0,0,0,0
31,,0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,7550,erc721,1,MekaVerse,mekaverse,False,0.023998,ETH,"The MekaVerse is a collection of 8,888 generative Mekas inspired by the Japanese Anime universe. View the collection at https://themekaverse.com/gallery.

In the distant future, drivers fight in a world divided into 4 Factions. Originals Meka, Mirage, F9, and Gadians are the Titans who rule this planet. Which Faction are you going to join?

World map: https://worldmap.themekaverse.com/

Visit https://themekaverse.com/ for more details.",2025-07-17T14:53:06.797124,8888,https://i2.seadn.io/ethereum/0x9a534628b4062e123ce7ee2222ec20b86e16ca8f/86d8149b3dd52ab2cef10e1bd05fef9f.png,0.0,0,0,0,0
32,,0x79fcdef22feed20eddacbb2587640e45491b757f,10013,erc721,1,mfers,mfers,False,0.4759949,ETH,"mfers are generated entirely from hand drawings by sartoshi. this project is in the public domain; feel free to use mfers any way you want.

unofficial mfers discord is [here](https://t.co/k18FPgnBy7)

backstory on mfers is [here](https://mirror.xyz/sartoshi.eth/QukjtL1076-1SEoNJuqyc-x4Ut2v8_TocKkszo-S_nU)",2025-07-17T14:53:07.298938,10021,https://i2.seadn.io/ethereum/0x79fcdef22feed20eddacbb2587640e45491b757f/616f9ed8a2fa3ed70f1ab80e6af347b9.png,0.0,0,0,0,0
33,,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,18358828188798648656663441076149737567146842501613528714842585323973085555811,erc721,1,ENS: Ethereum Name Service,ens,False,6.199e-05,ETH,"Ethereum Name Service (ENS) domains are secure domain names for the decentralized world. ENS domains provide a way for users to map human readable names to blockchain and non-blockchain resources, like Ethereum addresses, IPFS hashes, or website URLs. ENS domains can be bought and sold on secondary markets.",2025-07-17T14:53:07.842916,,https://raw2.seadn.io/ethereum/0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85/cbabf49f50a0db82cbbfe209028d5a/4acbabf49f50a0db82cbbfe209028d5a.svg,0.0,0,0,0,0
34,,0xbd4455da5929d5639ee098abfaa3241e9ae111af,816,erc721,1,NFT Worlds,nft-worlds,False,0.0295,ETH,NFT Worlds has rebranded to TOPIA: https://opensea.io/collection/topia-worlds,2025-07-17T14:53:08.370223,10000,https://i2.seadn.io/ethereum/0xbd4455da5929d5639ee098abfaa3241e9ae111af/5a7514a6e5d451b341188ba5981c3872.gif,0.0,0,0,0,0
35,,0x4db1f25d3d98600140dfc18deb7515be5bd293af,8191,erc721,1,HAPE PRIME,hapeprime,False,0.0628,ETH,"8K NEXT-GENERATION, HIGH FASHION HAPES

Unique, fully 3D and built to unite the ape multiverse.
Designed and styled by Digimental.",2025-07-17T14:53:08.946550,8192,https://i2.seadn.io/ethereum/0x4db1f25d3d98600140dfc18deb7515be5bd293af/ab9801b77db74d5de78e9bd635664cea.png,0.0,0,0,0,0
36,,0x86825dfca7a6224cfbd2da48e85df2fc3aa7c4b1,1,erc1155,1,RTFKT - MNLTH,rtfkt-mnlth,False,0.018795,ETH,"Behold a mysterious MNLTH, etched with NIKE & RTFKT markings. It seems to be sentient . . . What does it do? ????‍????",2025-07-17T14:53:09.446488,,https://i2.seadn.io/ethereum/0x86825dfca7a6224cfbd2da48e85df2fc3aa7c4b1/65f8113615486a11a771d642d93a11e5.png,0.0,0,0,0,0
37,,0x6339e5e072086621540d0362c4e3cea0d643e114,16000,erc721,1,Opepen Edition,opepen-edition,False,0.23996949,ETH,Consensus is temporary.,2025-07-17T14:53:09.937950,15786,https://i2.seadn.io/ethereum/0x6339e5e072086621540d0362c4e3cea0d643e114/60203bfb393f2db2aad43aabd061d3/0960203bfb393f2db2aad43aabd061d3.gif,0.0,0,0,0,0
38,,0x28472a58a490c5e09a238847f66a68a47cc76f0f,1,erc1155,1,adidas Originals Into the Metaverse,adidasoriginals,False,0.017899,ETH,"**Attention: Phase 1 & 2 NFTs are no longer supported by the ‘ALTS by adidas’ roadmap. The burning window for 'adidas Originals: Into the Metaverse' Phase 1 & 2 holders into ALTS by adidas closed permanently on September 18th, 2023.**

**To participate in the web3 adidas ecosystem, you can [purchase an ALTS by adidas NFT](https://rarible.com/alts-by-adidas).**",2025-07-17T14:53:10.927601,,https://i2.seadn.io/optimism/0x61dc6be8d590bf6fd716f1d042bf0e5ca5ef647f/42d4c3a59b27e29575afbca2128849/da42d4c3a59b27e29575afbca2128849.jpeg,0.0,0,0,0,0
39,,0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d,4125,erc721,1,Creepz by OVERLORD,genesis-creepz,False,0.978909,ETH,"Creepz rule, humans drool. [creepz.co](https://creepz.co)",2025-07-17T14:53:11.424656,,https://i2.seadn.io/ethereum/0x5946aeaab44e65eb370ffaa6a7ef2218cff9b47d/576bef237fdf3b1bd7972be7889059/17576bef237fdf3b1bd7972be7889059.png,0.0,0,0,0,0
